boleta_id,filename,Fecha,codigo_SKU,Cantidad_unidades,Valor_Unitario,Cantidad_comprada_X_Valor_Unitario,Descripcion_producto,Total_a_pagar_producto,Descripcion_Oferta,Cantidad_reducida_del_total,Categoria
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,2493950025595,1,2560.0,1 X $2560,MARRAQUETA GDE KG,2560.0,,0.0,Panadería y Pastelería
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,2497499035695,1,4065.0,1 X $4065,JAMON ART GR2 PF,4065.0,TMP OFERTA 7196 - CAF,-494.0,Carnes y Embutidos
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,5010391100758,1,20690.0,1 X $20690,LIC DRAMBUIE 40G,20690.0,,0.0,Vinos y Licores
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,5011013100132,1,19990.0,1 X $19990,CREMA IRLANDESA B,19990.0,TMP DESCUENTO 30% -,-5997.0,Lácteos y Huevos
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7509546065823,1,6249.0,1 X $6249,CR COLGATE MW3U75M,6249.0,TMP OFERTA 3690 - C,-2559.0,Higiene Personal
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7613032443221,6,479.0,6 X $479,GALL MOROCHA 50GR,2874.0,TMP OFERTA 3X990 - CA,-894.0,Snacks y Dulces
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7613032464042,6,479.0,6 X $479,GALL TTON MVAIN40G,2874.0,TMP OFERTA 3X990 - CA,-894.0,Snacks y Dulces
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7750168001953,1,2179.0,1 X $2179,OREO SIX PACK 216G,2179.0,,0.0,Snacks y Dulces
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7790520990679,2,4199.0,2 X $4199,LYSOFORM MONT495ML,8398.0,TMP OFERTA 2X6380 -,-2018.0,Productos de Limpieza y Hogar
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7791290793576,1,4675.0,1 X $4675,COMFORT FRES.DP 1L,4675.0,TMP OFERTA - 4000 JUM,-675.0,Productos de Limpieza y Hogar
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7797453973786,2,1090.0,2 X $1090,WHISNACKCAR40G,2180.0,,0.0,Snacks y Dulces
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7800006010866,2,1990.0,2 X $1990,SNACK GATO FIT PU1,3980.0,TMP DESCUENTO 10% - C,-398.0,Mascotas
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7801420001836,2,2530.0,2 X $2530,QUINOA BANQUE 250G,5060.0,TMP DESCUENTO 20% -,-1012.0,Cereales y Legumbres
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7801505003069,1,1429.0,1 X $1429,GARBANZOS 230GR,1429.0,TMP OFERTA 1000 - PRI,-429.0,Cereales y Legumbres
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7801875000583,1,1649.0,1 X $1649,TE VERDE PREMIUM 2,1649.0,,0.0,"Té, Café y Azúcar"
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7801875000743,1,2029.0,1 X $2029,PREMIUM EARL GREY,2029.0,TMP OFERTA 1590 - LPM,-439.0,Otros
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7801875150455,1,1090.0,1 X $1090,FILM DE PVC,1090.0,,0.0,Productos de Limpieza y Hogar
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7802100002754,1,7590.0,1 X $7590,PAK CER ROYAL 470C,7590.0,TMP OFERTA 4790 - C,-2800.0,Otros
2844829225,v140036176jmch-01_1724247209906.pdf,2024-08-19,7802200365759,2,879.0,2 X $879,GELATI VIVO BER22G,1758.0,TMP DESCUENTO 25% - L,-440.0,Otros
